name,variable name,epoch timestamp,vcc,vbatt,charge state
Greenville Camera v5 sn191 (took pic),s.bs,1710108062,3.316,3.472,0
Greenville Camera v5 sn191 (took pic),s.bs,1710107915,3.269,3.485,0
Greenville Camera v5 sn191 (took pic),s.bs,1710107697,3.292,3.496,0
Greenville Camera v5 sn191 (took pic),s.bs,1710107212,3.292,3.572,0
Greenville Camera v5 sn191 (took pic),s.bs,1710107011,3.335,3.437,1
Greenville Camera v5 sn191 (took pic),s.bs,1710106636,3.316,3.339,0
Greenville Camera v5 sn191 (took pic),s.bs,1710106228,3.335,3.344,0
Greenville Camera v5 sn191 (took pic),s.bs,1710105952,3.316,3.346,0
Greenville Camera v5 sn191 (took pic),s.bs,1710105801,3.335,3.342,0
Greenville Camera v5 sn191 (took pic),s.bs,1710105571,3.269,3.348,0
Greenville Camera v5 sn191 (took pic),s.bs,1710105156,3.316,3.344,0
Greenville Camera v5 sn191 (took pic),s.bs,1710104754,3.335,3.36,0
Greenville Camera v5 sn191 (took pic),s.bs,1710104611,3.269,3.362,0
Greenville Camera v5 sn191 (took pic),s.bs,1710104132,3.269,3.368,0
Greenville Camera v5 sn191 (took pic),s.bs,1710103849,3.335,3.364,0
Greenville Camera v5 sn191 (took pic),s.bs,1710103620,3.335,3.372,0
Greenville Camera v5 sn191 (took pic),s.bs,1710103467,3.269,3.372,0
Greenville Camera v5 sn191 (took pic),s.bs,1710103141,3.269,3.385,0
Greenville Camera v5 sn191 (took pic),s.bs,1710102818,3.269,3.395,0
Greenville Camera v5 sn191 (took pic),s.bs,1710102388,3.335,3.406,0
Greenville Camera v5 sn191 (took pic),s.bs,1710102275,3.316,3.41,0
Greenville Camera v5 sn191 (took pic),s.bs,1710101813,3.292,3.422,0
Greenville Camera v5 sn191 (took pic),s.bs,1710101582,3.292,3.432,0
Greenville Camera v5 sn191 (took pic),s.bs,1710101124,3.335,3.442,0
Greenville Camera v5 sn191 (took pic),s.bs,1710100995,3.292,3.454,0
Greenville Camera v5 sn191 (took pic),s.bs,1710100768,3.292,3.462,0
Greenville Camera v5 sn191 (took pic),s.bs,1710100486,3.269,3.48,0
Greenville Camera v5 sn191 (took pic),s.bs,1710100137,3.269,3.501,0
Greenville Camera v5 sn191 (took pic),s.bs,1710099752,3.292,3.54,0
Greenville Camera v5 sn191 (took pic),s.bs,1710099368,3.292,3.339,0
Greenville Camera v5 sn191 (took pic),s.bs,1710099209,3.316,3.337,0
Greenville Camera v5 sn191 (took pic),s.bs,1710098742,3.269,3.342,0
Greenville Camera v5 sn191 (took pic),s.bs,1710098497,3.292,3.333,0
Greenville Camera v5 sn191 (took pic),s.bs,1710098313,3.292,3.346,0
Greenville Camera v5 sn191 (took pic),s.bs,1710098090,3.335,3.337,0
Greenville Camera v5 sn191 (took pic),s.bs,1710097763,3.316,3.353,0
Greenville Camera v5 sn191 (took pic),s.bs,1710097381,3.335,3.347,0
Greenville Camera v5 sn191 (took pic),s.bs,1710097019,3.316,3.364,0
Greenville Camera v5 sn191 (took pic),s.bs,1710096699,3.269,3.368,0
Greenville Camera v5 sn191 (took pic),s.bs,1710096597,3.292,3.368,0
Greenville Camera v5 sn191 (took pic),s.bs,1710096111,3.292,3.378,0
Greenville Camera v5 sn191 (took pic),s.bs,1710095810,3.292,3.381,0
Greenville Camera v5 sn191 (took pic),s.bs,1710095466,3.269,3.391,0
Greenville Camera v5 sn191 (took pic),s.bs,1710095143,3.335,3.393,0
Greenville Camera v5 sn191 (took pic),s.bs,1710094878,3.316,3.408,0
Greenville Camera v5 sn191 (took pic),s.bs,1710094554,3.269,3.416,0
Greenville Camera v5 sn191 (took pic),s.bs,1710094142,3.316,3.428,0
Greenville Camera v5 sn191 (took pic),s.bs,1710093811,3.335,3.442,0
Greenville Camera v5 sn191 (took pic),s.bs,1710093554,3.335,3.442,0
Greenville Camera v5 sn191 (took pic),s.bs,1710093270,3.316,3.464,0
Greenville Camera v5 sn191 (took pic),s.bs,1710092984,3.269,3.47,0
Greenville Camera v5 sn191 (took pic),s.bs,1710092678,3.292,3.501,0
Greenville Camera v5 sn191 (took pic),s.bs,1710092182,3.316,3.587,0
Greenville Camera v5 sn191 (took pic),s.bs,1710092111,3.335,3.61,1
Greenville Camera v5 sn191 (took pic),s.bs,1710091750,3.335,3.338,0
Greenville Camera v5 sn191 (took pic),s.bs,1710091316,3.292,3.343,0
Greenville Camera v5 sn191 (took pic),s.bs,1710091155,3.316,3.343,0
Greenville Camera v5 sn191 (took pic),s.bs,1710090708,3.25,3.343,0
Greenville Camera v5 sn191 (took pic),s.bs,1710090481,3.292,3.35,0
Greenville Camera v5 sn191 (took pic),s.bs,1710090189,3.269,3.354,0
Greenville Camera v5 sn191 (took pic),s.bs,1710089966,3.316,3.358,0
Greenville Camera v5 sn191 (took pic),s.bs,1710089481,3.292,3.36,0
Greenville Camera v5 sn191 (took pic),s.bs,1710089088,3.316,3.357,0
Greenville Camera v5 sn191 (took pic),s.bs,1710088767,3.335,3.361,0
Greenville Camera v5 sn191 (took pic),s.bs,1710088324,3.292,3.383,0
Greenville Camera v5 sn191 (took pic),s.bs,1710087970,3.269,3.39,0
Greenville Camera v5 sn191 (took pic),s.bs,1710087694,3.292,3.398,0
Greenville Camera v5 sn191 (took pic),s.bs,1710087524,3.335,3.395,0
Greenville Camera v5 sn191 (took pic),s.bs,1710087288,3.292,3.409,0
Greenville Camera v5 sn191 (took pic),s.bs,1710086963,3.316,3.42,0
Greenville Camera v5 sn191 (took pic),s.bs,1710086570,3.335,3.429,0
Greenville Camera v5 sn191 (took pic),s.bs,1710086326,3.292,3.434,0
